# RTK Spline Planner demo waypoints
# Format: x(m)  y(m)  theta(rad)
#
# Phase 1: Long straight (X, 80m)
   0.000    0.000   0.0000
  20.000    0.000   0.0000
  40.000    0.000   0.0000
  60.000    0.000   0.0000
  80.000    0.000   0.2450
# Phase 2: Left turn
  92.000    3.000   0.7188
 100.000   10.000   1.1903
 104.000   20.000   1.5708
# Phase 3: Straight (Y, 60m)
 104.000   40.000   1.5708
 104.000   60.000   1.5708
 104.000   80.000   1.2490
# Phase 4: Right turn
 108.000   92.000   0.5404
 118.000   98.000   0.1651
 130.000  100.000   0.0000
# Phase 5: Long straight (X, 80m)
 150.000  100.000   0.0000
 170.000  100.000   0.0000
 190.000  100.000   0.0000
 210.000  100.000   0.5404
# Phase 6: Zigzag
 220.000  106.000  -0.8761
 230.000   94.000   0.8761
 240.000  106.000  -0.8761
 250.000   94.000   0.5404
# Phase 7: Final straight
 260.000  100.000   0.0000
 280.000  100.000   0.0000
